,Units,Location,Direction,Theta_0,Theta_1,Family,Blocks,Inactive,Designation,Description
D.30.41.012c,ft,all,0,300,0.1,lognormal,,,MEP,"HVAC Galvanized Sheet Metal Ducting -  6 sq. ft cross sectional area or greater, SDC D, E, or F"
D.30.41.031a,ea,all,0,135,0.1,lognormal,,,MEP,"HVAC Drops / Diffusers in suspended ceilings - No independent safety wires, SDC A or B"
D.30.41.041b,ea,all,0,75,0.1,lognormal,,,MEP,"Variable Air Volume (VAV) box with in-line coil, SDC C"
D.30.41.041b,ea,all,0,30,0.1,lognormal,,,MEP,"Variable Air Volume (VAV) box with in-line coil, SDC C"
D.30.41.103b,ea,roof,0,1,0.1,lognormal,,,MEP,HVAC Fan - Capacity: all - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
D.30.52.013b,ea,roof,0,8,0.1,lognormal,,,MEP,Air Handling Unit - Capacity: <5000 CFM - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
D.40.11.024a,ft,all,0,3000,0.1,lognormal,,,MEP,"Fire Sprinkler Water Piping - Horizontal Mains and Branches - Old Style Victaulic - Thin Wall Steel - with designed bracing, SDC D, E, or F (OSHPD or sim), PIPING FRAGILITY"
D.40.11.033a,ea,all,0,135,0.1,lognormal,,,MEP,"Fire Sprinkler Drop Standard Threaded Steel - Dropping into unbraced lay-in tile SOFT ceiling - 6 ft. long drop maximum, SDC D, E, or F"
D.50.11.013b,ea,roof,0,2,0.1,lognormal,,,MEP,Transformer/primary service - Capacity: <100 kVA - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
D.50.12.013c,ea,1,0,2,0.1,lognormal,,,MEP,Motor Control Center - Capacity: all - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
D.50.12.023b,ea,all,0,4,0.1,lognormal,,,MEP,Low Voltage Switchgear - Capacity: 100 to <350 Amp - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
D.50.12.033b,ea,1,0,1,0.1,lognormal,,,MEP,Distribution Panel - Capacity: 100 to <350 Amp - Equipment that is either hard anchored or is vibration isolated with seismic snubbers/restraints - Equipment fragility only
E.20.22.001,ea,all,0,90,0.35,lognormal,,,EC,Modular office work stations.  
E.20.22.023,ea,all,0,90,0.35,lognormal,,,EC,"Desktop electronics including computers, monitors, stereos, etc, smooth surface"
E.20.22.102b,ea,all,0,40,0.6,lognormal,,,EC,"Bookcase, 2 shelves, anchored laterally"
E.20.22.112a,ea,all,0,90,0.6,lognormal,,,EC,"Vertical Filing Cabinet, 2 drawer, unanchored laterally"
